1_name,2_link,3_min_salary,4_max_salary,5_salary_cur,6_site
Руководитель/Менеджер по бережливому производству/Lean - менеджер/,https://hh.ru/vacancy/44620791?query=Lean,150000,,руб.,https://hh.ru
Руководитель проекта (бережливое производство),https://hh.ru/vacancy/44765845?query=Lean,80000,,руб.,https://hh.ru
Менеджер по развитию производственной системы и бережливому производству (Lean production manager),https://hh.ru/vacancy/42714864?query=Lean,,,,https://hh.ru
"Начальник отдела бережливого производства (непрерывных улучшений, Lean manager)",https://hh.ru/vacancy/44423952?query=Lean,,,,https://hh.ru
Руководитель направления по бережливому производству (Lean),https://hh.ru/vacancy/44512558?query=Lean,,,,https://hh.ru
Менеджер проекта по повышению эффективности (Lean Six Sigma),https://hh.ru/vacancy/44465336?query=Lean,,180000,руб.,https://hh.ru
Руководитель направления по Бережливому производству (Lean),https://hh.ru/vacancy/44513807?query=Lean,,,,https://hh.ru
Руководитель направления по Бережливому производству (Lean),https://hh.ru/vacancy/44513754?query=Lean,,,,https://hh.ru
Руководитель направления по Бережливому производству (Lean),https://hh.ru/vacancy/44513746?query=Lean,,,,https://hh.ru
Руководитель направления по Бережливому производству (Lean),https://hh.ru/vacancy/44513789?query=Lean,,,,https://hh.ru
Руководитель направления по Бережливому производству (Lean),https://hh.ru/vacancy/44513772?query=Lean,,,,https://hh.ru
Руководитель управления по развитию производственной системы (Operational excellence/Lean),https://hh.ru/vacancy/44285440?query=Lean,,,,https://hh.ru
Lean Process Manager,https://hh.ru/vacancy/44254191?query=Lean,1500,,EUR,https://hh.ru
Руководитель проектов (LEAN бережливое производство),https://hh.ru/vacancy/44020909?query=Lean,71144,102446,руб.,https://hh.ru
Директор по производству,https://hh.ru/vacancy/44756052?query=Lean,,,,https://hh.ru
Бизнес-аналитик в Neattech.io,https://hh.ru/vacancy/44759574?query=Lean,800,2000,USD,https://hh.ru
Заместитель директора по вопросам обучения и развития персонала (коуч),https://hh.ru/vacancy/44695803?query=Lean,150000,,руб.,https://hh.ru
Senior Android Developer,https://hh.ru/vacancy/44001221?query=Lean,,,,https://hh.ru
Front-end Developer,https://hh.ru/vacancy/44638762?query=Lean,,,,https://hh.ru
Керівник проектів з оптимізації процесів Казначейства,https://hh.ru/vacancy/43681113?query=Lean,,,,https://hh.ru
Scrum master,https://hh.ru/vacancy/44736166?query=Lean,100000,140000,руб.,https://hh.ru
Agile coach,https://hh.ru/vacancy/44718931?query=Lean,300000,350000,руб.,https://hh.ru
Agile coach,https://hh.ru/vacancy/44723358?query=Lean,130000,170000,руб.,https://hh.ru
Директор департаменту аналітики,https://hh.ru/vacancy/44559669?query=Lean,,,,https://hh.ru
Scrum master,https://hh.ru/vacancy/40625035?query=Lean,,,,https://hh.ru
Заместитель директора по качеству,https://hh.ru/vacancy/44255618?query=Lean,,,,https://hh.ru
Руководитель проекта,https://hh.ru/vacancy/44719638?query=Lean,170000,220000,руб.,https://hh.ru
